Unnamed: 0,agent,group,AS_fit,DB_fit,VS_fit,SG_fit,r2_AS,r2_DB,r2_VS,r2_SG,r2_ASG,fit_AS,fit_DB,fit_VS,fit_SG,fit_ASG,id,model,lambda,beta,tau,par,initial_eps_soc,eta_eps_soc
31440,1,19,314.5175161765156,317.19931378323656,324.55064772984196,315.81562632269413,0.3478430740247288,0.34341472743940965,0.33910519009978013,0.3439690765794779,0.3429888552948325,350.2920982218156,352.6706895627035,354.9854650667842,352.3729328178348,352.8994376464183,31,AS,1.3209986771139464,0.10672990669078683,0.06699892106368938,,,
22560,3,23,295.96054623726343,289.8271015065489,295.74574610636046,298.30600738349835,0.3676575906313335,0.3736282571835961,0.3407783563091496,0.3648291204174275,0.3645290730897426,331.00374890275856,327.9217906847081,345.78749007501483,332.78607918492196,332.9306463066497,32,DB,1.2163595875978799,0.09448014662014756,0.0632170483618164,0.21497857251344307,,
26640,2,23,394.6507572767094,394.23873985637977,439.8084294167361,396.1058822698874,0.26525826301564326,0.26602533716791343,0.1811858879990924,0.26254918151686557,0.2692399233654047,394.65075727670944,394.23873985637977,439.8084294167361,396.1058822698874,392.51209386185917,33,ASG,0.7567454586182694,0.389945079000616,0.049460715200551245,,7.8509321272177335,0.009941092944595002
28800,4,23,305.2533103776147,303.18578147091443,369.8350927667421,312.8670783678351,0.4489949358725348,0.4604138873177058,0.44939484039159155,0.44462826948500356,0.444925150350409,295.9605462372635,289.82710150654896,295.74574610636046,298.30600738349835,298.14654419738054,34,DB,1.181268139133611,0.18697949402647943,0.05833409803941013,0.21630724688483488,,
29520,1,23,331.0037489027585,327.9217906847081,345.78749007501483,332.786079184922,0.3448515877239257,0.34746528172971053,0.22041300374609368,0.3244297117201524,0.33346665744275206,305.25331037761475,303.1857814709145,369.8350927667421,312.8670783678351,308.0206567069843,35,DB,1.5817316735740978,0.008651749463187662,0.08643267277100714,0.21428570000000002,,
11520,4,25,378.746303849929,380.6200745838387,391.33352501901265,390.9467157991118,0.37470289199358564,0.3662980916452673,0.3824587236216106,0.3976068644312378,0.398083357088006,332.46284274538954,336.8609519855486,328.4132611833825,320.29376451113535,320.0390213876549,36,ASG,1.7410068245468195,0.16890889235328538,0.08198268870169652,,9.840430840642084,0.04557361600104201
18720,3,25,376.7361122124349,372.1013689576328,406.5333134738507,376.34985673421903,0.23342655247952843,0.22649608908960728,0.2222089597074673,0.22546538089185428,0.23022273838978738,407.90891427670635,411.59778138657225,413.4934059023217,412.3045210150189,409.7491761209171,37,AS,1.0072957100978739,0.39300829277990895,0.05554259692586206,,,
21600,1,25,332.4628427453895,336.8609519855486,328.4132611833825,320.2937645111354,0.2920155256700874,0.30062592908308966,0.23533387417250817,0.29283631742266714,0.2912182472847489,376.7361122124349,372.10136895763276,406.5333134738506,376.34985673421903,377.2189739614347,38,DB,0.8803543519077006,0.24841349605618834,0.05363884689506893,0.21428570000000002,,
22320,2,25,407.9089142767063,411.59778138657225,413.49340590232174,412.3045210150189,0.2948684069748654,0.2913799110367265,0.2714341259680403,0.2721542687091124,0.2897630270013984,378.74630384992906,380.6200745838387,391.33352501901265,390.94671579911187,381.48854914687337,39,AS,0.842029766757998,0.41273088748038056,0.048888561997872906,,,
7680,2,26,408.64888102785625,394.94659896789693,397.7812976090896,392.9380247043257,0.1786692548468019,0.1619273632610378,0.19592487119179744,0.17524079757567762,0.1628578057763405,436.7980092431347,445.6485870258103,427.4966519087824,438.44607330811766,445.0569145946888,40,VS,2.459835267429854,0.007229822106848746,0.12017365740840269,0.11640929976250586,,
